"Book","Date Finished"
"Leviathan Wakes by James S.A. Corey","2018-06-04"
"Caliban's War by James S.A. Corey","2018-07-05"
"Abaddon's Gate by James S.A. Corey","2018-07-10"
"Cibola Burn by James S.A. Corey","2018-07-23"
"Nemesis Games by James S.A. Corey","2018-07-30"
"Babylon's Ashes by James S.A. Corey","2018-08-07"
"Persepolis Rising by James S.A. Corey","2018-08-14"
"Children of Time by Adrian Tchaikovsky","2018-08-21"
"The Three-Body Problem by Liu Cixin","2018-08-25"
"The Dark Forest by Liu Cixin","2018-08-30"
"Dogs of War by Adrian Tchaikovsky","2018-09-04"
"Prelude to Foundation by Isaac Asimov","2018-09-09"
"Death's End by Liu Cixin","2018-09-15"
"The Forever War by Joe Haldeman","2018-09-18"
"We Are Legion (We Are Bob) by Dennis E. Taylor","2018-09-25"
"Forward the Foundation by Isaac Asimov","2018-09-30"
"Foundation by Isaac Asimov","2018-10-03"
"Foundation and Empire by Isaac Asimov","2018-10-09"
"Second Foundation by Isaac Asimov","2018-10-13"
"For We Are Many by Dennis E. Taylor","2018-10-15"
"All These Worlds by Dennis E. Taylor","2018-10-18"
"Ubik by Philip K. Dick","2018-10-23"
"The Sirens of Titan by Kurt Vonnegut Jr.","2018-10-26"
"The Dispossessed by Ursula K. Le Guin","2018-10-31"
"House of Suns by Alastair Reynolds","2018-11-04"
"Dark Matter by Blake Crouch","2018-11-08"
"Roadside Picnic by Arkady Strugatsky","2018-11-10"
"Pandora's Star by Peter F. Hamilton","2018-11-23"
"Judas Unchained by Peter F. Hamilton","2018-12-08"
"Do Androids Dream of Electric Sheep? by Philip K. Dick","2018-12-10"
"The End of Eternity by Isaac Asimov","2018-12-11"
"Blindsight by Peter Watts","2018-12-17"
"The Moon is a Harsh Mistress by Robert A. Heinlein","2018-12-20"
"The Lathe of Heaven by Ursula K. Le Guin","2018-12-21"
"Cat's Cradle by Kurt Vonnegut Jr.","2018-12-27"
"Hyperion by Dan Simmons","2019-01-04"
"The Fall of Hyperion by Dan Simmons","2019-01-11"
"Foundation's Edge by Isaac Asimov","2019-01-17"
"""I, Robot"" by Isaac Asimov","2019-01-23"
"The Caves of Steel by Isaac Asimov","2019-01-26"
"The Naked Sun by Isaac Asimov","2019-01-27"
"The Robots of Dawn by Isaac Asimov","2019-01-31"
"Robots and Empire by Isaac Asimov","2019-02-06"
"Foundation and Earth by Isaac Asimov","2019-02-09"
"Sirius by Olaf Stapledon","2019-02-12"
"The Stars My Destination by Alfred Bester","2019-02-17"
"Mother Night by Kurt Vonnegut Jr.","2019-02-21"
"An Astronaut's Guide to Life on Earth by Chris Hadfield","2019-02-24"
"The Dreaming Void by Peter F. Hamilton","2019-03-04"
"The Temporal Void by Peter F. Hamilton","2019-03-13"
"The Evolutionary Void by Peter F. Hamilton","2019-03-25"
"Starship Troopers by Robert A. Heinlein","2019-03-30"
"Flowers for Algernon by Daniel Keyes","2019-04-01"
"The Hitchhiker's Guide to the Galaxy by Douglas Adams","2019-04-03"
"Tiamat's Wrath by James S.A. Corey","2019-04-07"
"Lord of Light by Roger Zelazny","2019-04-18"
"Consider Phlebas by Iain M. Banks","2019-04-26"
"The Player of Games by Iain M. Banks","2019-05-03"
"Use of Weapons by Iain M. Banks","2019-05-08"
"The Demolished Man by Alfred Bester","2019-05-15"
"Cosmos by Carl Sagan","2019-05-19"
"The Man Who Fell to Earth by Walter Tevis","2019-05-22"
"Children of Ruin by Adrian Tchaikovsky","2019-05-29"
"The Selfish Gene by Richard Dawkins","2019-06-05"
"Excession by Iain M. Banks","2019-06-09"
"Gateway by Frederik Pohl","2019-06-12"
"The Abyss Beyond Dreams by Peter F. Hamilton","2019-06-18"
"Night Without Stars by Peter F. Hamilton","2019-06-29"
"The Collapsing Empire by John Scalzi","2019-07-02"
"The Consuming Fire by John Scalzi","2019-07-05"
"Inversions by Iain M. Banks","2019-07-07"
"Great North Road by Peter F. Hamilton","2019-07-28"
"Tau Zero by Poul Anderson","2019-07-31"
"The Left Hand of Darkness by Ursula K. Le Guin","2019-08-05"
"The God Delusion by Richard Dawkins","2019-08-07"
"The Three Stigmata of Palmer Eldritch by Philip K. Dick","2019-08-09"
"The Ascent of Gravity: The Quest to Understand the Force that Explains Everything by Marcus Chown","2019-08-13"
"Wool by Hugh Howey","2019-08-19"
"Dune by Frank Herbert","2019-08-26"
"The Gods Themselves by Isaac Asimov","2019-09-02"
"Slaughterhouse-Five by Kurt Vonnegut Jr.","2019-09-04"
"Sea of Rust by C. Robert Cargill","2019-09-11"
"Look to Windward by Iain M. Banks","2019-09-15"
"Revelation Space by Alastair Reynolds","2019-09-26"
"Redemption Ark by Alastair Reynolds","2019-10-04"
"Absolution Gap by Alastair Reynolds","2019-10-10"
"The Martian by Andy Weir","2019-10-13"
"The Handmaid's Tale by Margaret Atwood","2019-10-16"
"Childhood's End by Arthur C. Clarke","2019-10-19"
"Armor by John Steakley","2019-10-24"
"A Fire Upon the Deep by Vernor Vinge","2019-10-31"
"The Man in the High Castle by Philip K. Dick","2019-11-05"
"Contact by Carl Sagan","2019-11-10"
"Reality is Not What it Seems: The Journey to Quantum Gravity by Carlo Rovelli","2019-11-11"
"Ender's Game by Orson Scott Card","2019-11-17"
"Starfish by Peter Watts","2019-11-21"
"A Memory Called Empire by Arkady Martine","2019-11-27"
"The Algebraist by Iain M. Banks","2019-12-06"
"Station Eleven by Emily St. John Mandel","2019-12-12"
"Breakfast of Champions by Kurt Vonnegut Jr.","2019-12-15"
"The Light Brigade by Kameron Hurley","2019-12-19"
"2001: A Space Odyssey by Arthur C. Clarke","2019-12-22"
"Pushing Ice by Alastair Reynolds","2019-12-29"
"The Reality Dysfunction by Peter F. Hamilton","2020-01-12"
"The Neutronium Alchemist by Peter F. Hamilton","2020-01-24"
"The Naked God by Peter F. Hamilton","2020-02-01"
"Vicious by V.E. Schwab","2020-02-04"
"Circe by Madeline Miller","2020-02-08"
"Redshirts by John Scalzi","2020-02-11"
"We by Yevgeny Zamyatin","2020-02-14"
"The Stars Are Legion by Kameron Hurley","2020-02-16"
"Spin by Robert Charles Wilson","2020-02-22"
"Feersum Endjinn by Iain M. Banks","2020-02-27"
"The Fifth Season by N.K. Jemisin","2020-02-29"
"Matter by Iain M. Banks","2020-03-05"
"The City and the Stars by Arthur C. Clarke","2020-03-09"
"Fahrenheit 451 by Ray Bradbury","2020-03-11"
"The Obelisk Gate by N.K. Jemisin","2020-03-16"
"The Stone Sky by N.K. Jemisin","2020-03-21"
"A Canticle for Leibowitz by Walter M. Miller Jr.","2020-03-28"
"The Quantum Magician by Derek Künsken","2020-04-02"
"The Quantum Garden by Derek Künsken","2020-04-05"
"Embers of War by Gareth L. Powell","2020-04-08"
"A Scanner Darkly by Philip K. Dick","2020-04-12"
"Sixteen Ways to Defend a Walled City by K.J. Parker","2020-04-18"
"The Song of Achilles by Madeline Miller","2020-04-22"
"The Prefect by Alastair Reynolds","2020-04-26"
"Elysium Fire by Alastair Reynolds","2020-05-01"
"Chasm City by Alastair Reynolds","2020-05-04"
