"Book","Date Finished","Publication Year"
"Leviathan Wakes by James S.A. Corey","2018-06-04","2011"
"Caliban's War by James S.A. Corey","2018-07-05","2012"
"Abaddon's Gate by James S.A. Corey","2018-07-10","2013"
"Cibola Burn by James S.A. Corey","2018-07-23","2014"
"Nemesis Games by James S.A. Corey","2018-07-30","2015"
"Babylon's Ashes by James S.A. Corey","2018-08-07","2016"
"Persepolis Rising by James S.A. Corey","2018-08-14","2017"
"Children of Time by Adrian Tchaikovsky","2018-08-21","2015"
"The Three-Body Problem by Liu Cixin","2018-08-25","2008"
"The Dark Forest by Liu Cixin","2018-08-30","2008"
"Dogs of War by Adrian Tchaikovsky","2018-09-04","2017"
"Prelude to Foundation by Isaac Asimov","2018-09-09","1988"
"Death's End by Liu Cixin","2018-09-15","2010"
"The Forever War by Joe Haldeman","2018-09-18","1974"
"We Are Legion (We Are Bob) by Dennis E. Taylor","2018-09-25","2016"
"Forward the Foundation by Isaac Asimov","2018-09-30","1993"
"Foundation by Isaac Asimov","2018-10-03","1951"
"Foundation and Empire by Isaac Asimov","2018-10-09","1952"
"Second Foundation by Isaac Asimov","2018-10-13","1953"
"For We Are Many by Dennis E. Taylor","2018-10-15","2017"
"All These Worlds by Dennis E. Taylor","2018-10-18","2017"
"Ubik by Philip K. Dick","2018-10-23","1969"
"The Sirens of Titan by Kurt Vonnegut Jr.","2018-10-26","1959"
"The Dispossessed by Ursula K. Le Guin","2018-10-31","1974"
"House of Suns by Alastair Reynolds","2018-11-04","2008"
"Dark Matter by Blake Crouch","2018-11-08","2016"
"Roadside Picnic by Arkady Strugatsky","2018-11-10","1972"
"Pandora's Star by Peter F. Hamilton","2018-11-23","2004"
"Judas Unchained by Peter F. Hamilton","2018-12-08","2005"
"Do Androids Dream of Electric Sheep? by Philip K. Dick","2018-12-10","1968"
"The End of Eternity by Isaac Asimov","2018-12-11","1955"
"Blindsight by Peter Watts","2018-12-17","2006"
"The Moon is a Harsh Mistress by Robert A. Heinlein","2018-12-20","1966"
"The Lathe of Heaven by Ursula K. Le Guin","2018-12-21","1971"
"Cat's Cradle by Kurt Vonnegut Jr.","2018-12-27","1963"
"Hyperion by Dan Simmons","2019-01-04","1989"
"The Fall of Hyperion by Dan Simmons","2019-01-11","1990"
"Foundation's Edge by Isaac Asimov","2019-01-17","1982"
"""I, Robot"" by Isaac Asimov","2019-01-23","1950"
"The Caves of Steel by Isaac Asimov","2019-01-26","1954"
"The Naked Sun by Isaac Asimov","2019-01-27","1956"
"The Robots of Dawn by Isaac Asimov","2019-01-31","1983"
"Robots and Empire by Isaac Asimov","2019-02-06","1985"
"Foundation and Earth by Isaac Asimov","2019-02-09","1986"
"Sirius by Olaf Stapledon","2019-02-12","1944"
"The Stars My Destination by Alfred Bester","2019-02-17","1955"
"Mother Night by Kurt Vonnegut Jr.","2019-02-21","1961"
"An Astronaut's Guide to Life on Earth by Chris Hadfield","2019-02-24","2013"
"The Dreaming Void by Peter F. Hamilton","2019-03-04","2007"
"The Temporal Void by Peter F. Hamilton","2019-03-13","2008"
"The Evolutionary Void by Peter F. Hamilton","2019-03-25","2009"
"Starship Troopers by Robert A. Heinlein","2019-03-30","1959"
"Flowers for Algernon by Daniel Keyes","2019-04-01","1966"
"The Hitchhiker's Guide to the Galaxy by Douglas Adams","2019-04-03","1979"
"Tiamat's Wrath by James S.A. Corey","2019-04-07","2019"
"Lord of Light by Roger Zelazny","2019-04-18","1967"
"Consider Phlebas by Iain M. Banks","2019-04-26","1987"
"The Player of Games by Iain M. Banks","2019-05-03","1988"
"Use of Weapons by Iain M. Banks","2019-05-08","1990"
"The Demolished Man by Alfred Bester","2019-05-15","1953"
"Cosmos by Carl Sagan","2019-05-19","1980"
"The Man Who Fell to Earth by Walter Tevis","2019-05-22","1963"
"Children of Ruin by Adrian Tchaikovsky","2019-05-29","2019"
"The Selfish Gene by Richard Dawkins","2019-06-05","1976"
"Excession by Iain M. Banks","2019-06-09","1996"
"Gateway by Frederik Pohl","2019-06-12","1977"
"The Abyss Beyond Dreams by Peter F. Hamilton","2019-06-18","2014"
"Night Without Stars by Peter F. Hamilton","2019-06-29","2016"
"The Collapsing Empire by John Scalzi","2019-07-02","2017"
"The Consuming Fire by John Scalzi","2019-07-05","2018"
"Inversions by Iain M. Banks","2019-07-07","1998"
"Great North Road by Peter F. Hamilton","2019-07-28","2012"
"Tau Zero by Poul Anderson","2019-07-31","1970"
"The Left Hand of Darkness by Ursula K. Le Guin","2019-08-05","1969"
"The God Delusion by Richard Dawkins","2019-08-07","2006"
"The Three Stigmata of Palmer Eldritch by Philip K. Dick","2019-08-09","1965"
"The Ascent of Gravity: The Quest to Understand the Force that Explains Everything by Marcus Chown","2019-08-13","2017"
"Wool by Hugh Howey","2019-08-19","2012"
"Dune by Frank Herbert","2019-08-26","1965"
"The Gods Themselves by Isaac Asimov","2019-09-02","1972"
"Slaughterhouse-Five by Kurt Vonnegut Jr.","2019-09-04","1969"
"Sea of Rust by C. Robert Cargill","2019-09-11","2017"
"Look to Windward by Iain M. Banks","2019-09-15","2000"
"Revelation Space by Alastair Reynolds","2019-09-26","2000"
"Redemption Ark by Alastair Reynolds","2019-10-04","2002"
"Absolution Gap by Alastair Reynolds","2019-10-10","2003"
"The Martian by Andy Weir","2019-10-13","2012"
"The Handmaid's Tale by Margaret Atwood","2019-10-16","1985"
"Childhood's End by Arthur C. Clarke","2019-10-19","1953"
"Armor by John Steakley","2019-10-24","1984"
"A Fire Upon the Deep by Vernor Vinge","2019-10-31","1992"
"The Man in the High Castle by Philip K. Dick","2019-11-05","1962"
"Contact by Carl Sagan","2019-11-10","1985"
"Reality is Not What it Seems: The Journey to Quantum Gravity by Carlo Rovelli","2019-11-11","2014"
"Ender's Game by Orson Scott Card","2019-11-17","1985"
"Starfish by Peter Watts","2019-11-21","1999"
"A Memory Called Empire by Arkady Martine","2019-11-27","2019"
"The Algebraist by Iain M. Banks","2019-12-06","2004"
"Station Eleven by Emily St. John Mandel","2019-12-12","2014"
"Breakfast of Champions by Kurt Vonnegut Jr.","2019-12-15","1973"
"The Light Brigade by Kameron Hurley","2019-12-19","2019"
"2001: A Space Odyssey by Arthur C. Clarke","2019-12-22","1968"
"Pushing Ice by Alastair Reynolds","2019-12-29","2005"
"The Reality Dysfunction by Peter F. Hamilton","2020-01-12","1996"
"The Neutronium Alchemist by Peter F. Hamilton","2020-01-24","1997"
"The Naked God by Peter F. Hamilton","2020-02-01","1999"
"Vicious by V.E. Schwab","2020-02-04","2013"
"Circe by Madeline Miller","2020-02-08","2018"
"Redshirts by John Scalzi","2020-02-11","2012"
"We by Yevgeny Zamyatin","2020-02-14","1921"
"The Stars Are Legion by Kameron Hurley","2020-02-16","2017"
"Spin by Robert Charles Wilson","2020-02-22","2005"
"Feersum Endjinn by Iain M. Banks","2020-02-27","1994"
"The Fifth Season by N.K. Jemisin","2020-02-29","2015"
"Matter by Iain M. Banks","2020-03-05","2008"
"The City and the Stars by Arthur C. Clarke","2020-03-09","1956"
"Fahrenheit 451 by Ray Bradbury","2020-03-11","1953"
"The Obelisk Gate by N.K. Jemisin","2020-03-16","2016"
"The Stone Sky by N.K. Jemisin","2020-03-21","2017"
"A Canticle for Leibowitz by Walter M. Miller Jr.","2020-03-28","1959"
"The Quantum Magician by Derek Künsken","2020-04-02","2018"
"The Quantum Garden by Derek Künsken","2020-04-05","2019"
"Embers of War by Gareth L. Powell","2020-04-08","2018"
"A Scanner Darkly by Philip K. Dick","2020-04-12","1977"
