"Author","Page Count"
"Peter F. Hamilton","11487"
"Alastair Reynolds","6157"
"Iain M. Banks","5205"
"Isaac Asimov","4560"
"James S.A. Corey","4461"
"Joe Abercrombie","3738"
"Peter V. Brett","3624"
"John Scalzi","2314"
"Adrian Tchaikovsky","2114"
"Scott Lynch","1901"
"Liu Cixin","1708"
"N.K. Jemisin","1341"
"Ed McDonald","1252"
"Kurt Vonnegut Jr.","1234"
"Philip K. Dick","1162"
"K.J. Parker","1146"
"Dan Simmons","999"
"Dennis E. Taylor","908"
"Derek KÃ¼nsken","874"
"Carl Sagan","857"
"Richard Dawkins","831"
"Ursula K. Le Guin","824"
"Blake Crouch","800"
"Arthur C. Clarke","788"
"Kameron Hurley","768"
"Neil Gaiman","750"
"Madeline Miller","711"
"Peter Watts","701"
"Robert A. Heinlein","670"
"K.K. Edin","588"
"Vernor Vinge","579"
"Frank Herbert","577"
"Hugh Howey","537"
"Nicholas Eames","502"
"Alfred Bester","494"
"Walter Tevis","480"
"Robert Charles Wilson","464"
"Arkady Martine","462"
"John Steakley","426"
"Gareth L. Powell","411"
"Andy Weir","369"
"Orson Scott Card","368"
"C. Robert Cargill","365"
"Ted Chiang","352"
"V.E. Schwab","340"
"Emily St. John Mandel","339"
"Walter M. Miller Jr.","334"
"Margaret Atwood","320"
"Chris Hadfield","311"
"Roger Zelazny","304"
"Marko Kloos","288"
"Marcus Chown","288"
"Frederik Pohl","280"
"Carlo Rovelli","255"
"Simone Caroti","242"
"Joe Haldeman","241"
"Yevgeny Zamyatin","233"
"Ray Bradbury","227"
"Daniel Keyes","224"
"Arkady Strugatsky","209"
"Olaf Stapledon","194"
"Poul Anderson","190"
"Douglas Adams","184"
